ID,RA,DEC,HEALPixels
620,207.88732394,-75.15010000,41142
621,212.95774648,-75.15010000,41141
622,218.02816901,-75.15010000,41162
623,223.09859155,-75.15010000,41161
624,228.16901408,-75.15010000,41158
625,233.23943662,-75.15010000,41157
626,238.30985915,-75.15010000,41081 41082
627,243.38028169,-75.15010000,41078
628,248.45070423,-75.15010000,41077
629,253.52112676,-75.15010000,41226
630,258.59154930,-75.15010000,41225
631,263.66197183,-75.15010000,41222
632,268.73239437,-75.15010000,41221
633,273.80281690,-75.15010000,45578
634,278.87323944,-75.15010000,45574 45577
635,283.94366197,-75.15010000,45573
636,289.01408451,-75.15010000,45242
637,294.08450704,-75.15010000,45241
638,299.15492958,-75.15010000,45238
639,304.22535211,-75.15010000,45237
640,309.29577465,-75.15010000,45258
641,314.36619718,-75.15010000,45257
642,319.43661972,-75.15010000,45253 45254
643,324.50704225,-75.15010000,45178
644,329.57746479,-75.15010000,45177
645,334.64788732,-75.15010000,45174
646,339.71830986,-75.15010000,45173
647,344.78873239,-75.15010000,45322
648,349.85915493,-75.15010000,45321
649,354.92957746,-75.15010000,45318
650,2.40152467,-74.25010000,33312 33314
651,7.20152467,-74.25010000,33291 33313
652,12.00152467,-74.25010000,33292 33293 33294
653,16.80152467,-74.25010000,33287 33298
654,21.60152467,-74.25010000,32955 33296 33297
655,26.40152467,-74.25010000,32956 32958
656,31.20152467,-74.25010000,32951 32957
657,36.00152467,-74.25010000,32992 32994
658,40.80152467,-74.25010000,32971 32974 32993
659,45.60152467,-74.25010000,32972 32973
660,50.40152467,-74.25010000,32967 32978
661,55.20152467,-74.25010000,32976 32977
662,60.00152467,-74.25010000,32891 32892 32894
663,64.80152467,-74.25010000,32887 32893
664,69.60152467,-74.25010000,33056 33057 33058
665,74.40152467,-74.25010000,33035 33038
666,79.20152467,-74.25010000,33036 33037
667,84.00152467,-74.25010000,33031 33042
668,88.80152467,-74.25010000,33040 33041
669,93.60152467,-74.25010000,37408 37410
670,98.40152467,-74.25010000,37387 37388 37390 37409
671,103.20152467,-74.25010000,37383 37389
672,108.00152467,-74.25010000,37392 37394
673,112.80152467,-74.25010000,37051 37393
674,117.60152467,-74.25010000,37052 37054
675,122.40152467,-74.25010000,37047 37053 37090
676,127.20152467,-74.25010000,37088 37089
677,132.00152467,-74.25010000,37067 37070
678,136.80152467,-74.25010000,37068 37069
679,141.60152467,-74.25010000,37063 37072 37074
680,146.40152467,-74.25010000,36987 37073
681,151.20152467,-74.25010000,36988 36989 36990
682,156.00152467,-74.25010000,36983 37154
683,160.80152467,-74.25010000,37152 37153
684,165.60152467,-74.25010000,37131 37134
685,170.40152467,-74.25010000,37132 37133
686,175.20152467,-74.25010000,37127 37138
687,180.00152467,-74.25010000,37136 37137 41504 41506
688,184.80152467,-74.25010000,41483 41505
689,189.60152467,-74.25010000,41484 41486
690,194.40152467,-74.25010000,41479 41485
691,199.20152467,-74.25010000,41488 41490
692,204.00152467,-74.25010000,41147 41489
693,208.80152467,-74.25010000,41148 41149 41150
694,213.60152467,-74.25010000,41143 41186
695,218.40152467,-74.25010000,41163 41184 41185
696,223.20152467,-74.25010000,41164 41166
697,228.00152467,-74.25010000,41159 41165
