dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_300_3-0_80_map.h5,5,11,init,0.212582,0.212582
sim_300_3-0_80_map.h5,5,11,mapping,60.3956,60.6081
sim_300_3-0_80_map.h5,5,11,gcp,0.721558,61.3297
sim_300_3-0_80_map.h5,5,11,total,9.92058,71.2503
sim_300_3-0_80_map.h5,10,11,init,0.219367,0.219367
sim_300_3-0_80_map.h5,10,11,mapping,61.7705,61.9899
sim_300_3-0_80_map.h5,10,11,gcp,0.743382,62.7333
sim_300_3-0_80_map.h5,10,11,total,9.8305,72.5638
sim_300_3-0_80_map.h5,20,11,init,0.20919,0.20919
sim_300_3-0_80_map.h5,20,11,mapping,61.0006,61.2098
sim_300_3-0_80_map.h5,20,11,gcp,0.905723,62.1155
sim_300_3-0_80_map.h5,20,11,total,9.74797,71.8635
sim_300_3-0_80_map.h5,30,11,init,0.212358,0.212358
sim_300_3-0_80_map.h5,30,11,mapping,61.0996,61.312
sim_300_3-0_80_map.h5,30,11,gcp,1.20548,62.5174
sim_300_3-0_80_map.h5,30,11,total,9.42559,71.943
sim_300_3-0_80_map.h5,40,11,init,0.207686,0.207686
sim_300_3-0_80_map.h5,40,11,mapping,61.568,61.7757
sim_300_3-0_80_map.h5,40,11,gcp,0.948668,62.7244
sim_300_3-0_80_map.h5,40,11,total,9.70842,72.4328
sim_300_3-0_80_map.h5,50,11,init,0.229383,0.229383
sim_300_3-0_80_map.h5,50,11,mapping,61.0824,61.3118
sim_300_3-0_80_map.h5,50,11,gcp,0.86777,62.1796
sim_300_3-0_80_map.h5,50,11,total,9.75975,71.9393
sim_300_3-0_80_map.h5,60,11,init,0.208934,0.208934
sim_300_3-0_80_map.h5,60,11,mapping,61.1626,61.3716
sim_300_3-0_80_map.h5,60,11,gcp,0.974653,62.3462
sim_300_3-0_80_map.h5,60,11,total,9.64473,71.991
sim_300_3-0_80_map.h5,70,11,init,0.214854,0.214854
sim_300_3-0_80_map.h5,70,11,mapping,61.422,61.6368
sim_300_3-0_80_map.h5,70,11,gcp,0.926683,62.5635
sim_300_3-0_80_map.h5,70,11,total,9.67827,72.2418
sim_300_3-0_80_map.h5,80,11,init,0.20887,0.20887
sim_300_3-0_80_map.h5,80,11,mapping,61.1907,61.3996
sim_300_3-0_80_map.h5,80,11,gcp,0.948188,62.3478
sim_300_3-0_80_map.h5,80,11,total,9.68781,72.0356
sim_300_3-0_80_map.h5,90,11,init,0.213158,0.213158
sim_300_3-0_80_map.h5,90,11,mapping,61.4153,61.6284
sim_300_3-0_80_map.h5,90,11,gcp,1.20314,62.8316
sim_300_3-0_80_map.h5,90,11,total,9.39186,72.2234
sim_300_3-0_80_map.h5,100,11,init,0.206022,0.206022
sim_300_3-0_80_map.h5,100,11,mapping,61.0284,61.2345
sim_300_3-0_80_map.h5,100,11,gcp,0.913435,62.1479
sim_300_3-0_80_map.h5,100,11,total,9.78739,71.9353
sim_300_1-0_64_map.h5,5,22,init,0.218983,0.218983
sim_300_1-0_64_map.h5,5,22,mapping,59.8351,60.054
sim_300_1-0_64_map.h5,5,22,gcp,0.677684,60.7317
sim_300_1-0_64_map.h5,5,22,total,9.91041,70.6421
sim_300_1-0_64_map.h5,10,22,init,0.212102,0.212102
sim_300_1-0_64_map.h5,10,22,mapping,60.4893,60.7014
sim_300_1-0_64_map.h5,10,22,gcp,0.760983,61.4624
sim_300_1-0_64_map.h5,10,22,total,9.89105,71.3534
sim_300_1-0_64_map.h5,20,22,init,0.233863,0.233863
sim_300_1-0_64_map.h5,20,22,mapping,61.454,61.6879
sim_300_1-0_64_map.h5,20,22,gcp,1.04134,62.7293
sim_300_1-0_64_map.h5,20,22,total,9.57277,72.302
sim_300_1-0_64_map.h5,30,22,init,0.20903,0.20903
sim_300_1-0_64_map.h5,30,22,mapping,61.7098,61.9188
